Episode	Reward	Best Score
---------------------------------
0	178.90	178.90	0:00:03.172715
1	92.00	178.90	0:00:09.574157
2	-33.40	178.90	0:00:19.923488
3	-55.40	178.90	0:00:30.347836
4	-55.40	178.90	0:00:40.653182
5	-87.30	178.90	0:00:51.313583
6	-55.40	178.90	0:01:01.713926
7	-55.40	178.90	0:01:11.963234
8	39.20	178.90	0:01:18.779770
9	39.20	178.90	0:01:25.617309
10	38.10	178.90	0:01:32.464851
11	38.10	178.90	0:01:39.279386
12	39.20	178.90	0:01:46.142932
13	39.20	178.90	0:01:53.033484
14	39.20	178.90	0:01:59.956043
15	-14.70	178.90	0:02:07.725793
16	-14.70	178.90	0:02:15.460535
17	-14.70	178.90	0:02:23.206280
18	-14.70	178.90	0:02:30.992033
19	-14.70	178.90	0:02:38.749780
20	-14.70	178.90	0:02:46.483522
21	-14.70	178.90	0:02:54.207262
22	-14.70	178.90	0:03:01.919998
23	-14.70	178.90	0:03:09.758764
24	-14.70	178.90	0:03:17.532515
25	-14.70	178.90	0:03:25.321269
26	-14.70	178.90	0:03:33.111024
27	100.80	178.90	0:03:37.708059
28	100.80	178.90	0:03:42.316097
29	100.80	178.90	0:03:46.896129
30	46.90	178.90	0:03:52.421373
31	-14.70	178.90	0:04:00.168118
32	-14.70	178.90	0:04:08.013885
33	-14.70	178.90	0:04:15.733623
34	-14.70	178.90	0:04:23.563387
35	-14.70	178.90	0:04:31.332137
36	-14.70	178.90	0:04:39.107888
37	-14.70	178.90	0:04:46.871637
38	-14.70	178.90	0:04:54.622382
39	46.90	178.90	0:05:00.066608
40	46.90	178.90	0:05:05.606856
41	46.90	178.90	0:05:11.057084
42	46.90	178.90	0:05:16.584329
43	46.90	178.90	0:05:22.031555
44	77.70	178.90	0:05:27.502788
45	9.50	178.90	0:05:36.968920
46	9.50	178.90	0:05:46.546077
47	9.50	178.90	0:05:56.005817
48	9.50	178.90	0:06:05.552967
49	9.50	178.90	0:06:15.207141
50	9.50	178.90	0:06:24.777881
